audio-0.300-1.500|From behind my seat.
audio-14859.400-14860.200|Dark red.
audio-14860.000-14861.900|What's your problem?
audio-14861.700-14862.900|Why you looking at him?
audio-14862.700-14864.300|I'm the one talkin r&i.
audio-14864.100-14866.300|I'm so sorry.
audio-14866.100-14868.500|I explained horrified.
audio-14868.300-14873.600|He stared at me for a long moment and then heaved a huge Sigh No.
audio-14873.400-14878.500|I am he said I am I felt tense and ashamed.
audio-14879.900-14881.300|It's pouring.
audio-14881.100-14888.600|He said I look back in his eyes were said the gray of a winter sky at dusk Warren.
audio-14888.400-14894.100|I said incredibly and it gives me a headache I'm is totally pointless.
audio-14893.900-14898.000|I mean, there's so much talk about being productive leading an independent.
audio-14897.800-14903.900|Like I'm a fucking quadriplegic rooster reached over and gave Mike solder a pet.
audio-14903.700-14907.200|You're not a fucking quadriplegic.
audio-14907.000-14911.600|He said quietly Mike rolls his eyes and smiled a little.
audio-14911.400-14913.600|Yeah, there's that too.
audio-14915.900-14924.300|After we dropped him off rooster and I got back into his new car and he drove me to my mother's the two of us silent all the way out in front.
audio-14924.100-14925.500|He cut the engine.
audio-14925.300-14927.900|I thought you didn't want to talk about him.
audio-14927.700-14933.400|I said I don't let's anyway, it's what it looks like.
audio-14933.200-14935.500|He said believe it or not.
audio-14935.300-14936.500|It was a lot worse.
audio-14936.300-14942.900|He pause then said my theory is that in the fall through a lot of things happening.
audio-14942.700-14957.600|There was rehab and getting the Halo off and being discharged from the hospital and the wedding and I was supposed to come home and you were supposed to come home, but you didn't and then January came it was fucking cold and Mike felt pretty hopeless.
audio-14957.400-14959.400|Carrie pretty stuck.
audio-14959.200-14962.200|Like well, this isn't welcome to life is a quad.
audio-14962.800-14964.500|I sighed and shook my head.
audio-14964.300-14967.300|Anyway, he started talking about wanting to die.
audio-14967.100-14970.100|What I was confused.
audio-14969.900-14975.000|You mean he rooster said I mean he wanted to die.
audio-14974.800-14981.300|And as I stared at him, I felt great sorrow invade V. I buried my face in my hands.
audio-14981.100-14993.000|I kept thinking of Monday the way Mike and looked for just a moment while the two of us were alone together his pale face and his bristly mustache and how is composer suddenly dropped away.
audio-14992.800-15001.900|Yes is for help restore said he asked me he has parents even as Joan ones to help him kill himself.
audio-15001.700-15006.000|I looked up I wasn't here for I was passed that.
audio-15005.800-15009.000|I was sick blown apart.
audio-15009.600-15018.200|I guess I should have told you Reser said no, you should have I'm glad you did or not glad but why you no.
audio-15019.000-15020.100|He looks at me.
audio-15019.900-15025.200|Is it still going on I said is that what happens on the bad days?
audio-15025.000-15027.100|He shook his head.
audio-15026.900-15029.900|He seems to have gotten Beyond it.
audio-15029.700-15035.100|I mean who knows what he's thinking about alone in bed at night, but he stopped talking about it.
audio-15034.900-15037.500|And you know what that's almost enough for me.
audio-15037.300-15039.500|Isn't that awful?
audio-15039.300-15044.800|No, I think it's awful but I can't help he started the car.
audio-15044.600-15046.900|Look, I've got to get back.
audio-15046.700-15049.800|He said I'm sorry I dump this on you.
audio-15049.600-15052.800|Okay, and don't tell Mike I told you why not.
audio-15052.600-15054.700|He wouldn't want you to know.
audio-15054.500-15056.500|He doesn't want you to know.
audio-15056.300-15058.300|I mean it carry you can't ever say anything.
audio-15058.100-15060.400|Okay fine.
audio-15060.200-15062.000|I said, but why?
audio-15062.700-15065.600|So if she does come back on though, it's not just pity.
audio-15065.400-15067.600|He stared at me get it.
audio-15068.400-15074.600|I didn't answer his expectations are zero calorie zero but his hopes.
audio-15074.400-15079.600|This is a guy who was a lot to hope for and you're somewhere near the top of the list.
audio-15083.100-15087.100|I canceled my flight I couldn't go back yet.
audio-15086.900-15096.400|After what rooster had told me Kilroy wasn't happy and his unhappiness made me unhappy and when I told my mother that I was going to stay a while longer.
audio-15096.200-15103.900|She searched my face hard as if for an explanation, do you really want to she said it last?
audio-15103.700-15105.400|Yes.
audio-15106.200-15109.400|I called Mike the next morning and mrs. Mayor answered.
audio-15109.200-15113.200|I said I guessed she'd heard I was back and she said yes.
audio-15113.000-15116.300|She guess she had when Mike came on.
audio-15116.100-15126.000|I told him I was going to be staying for a few more days and then I'd like to visit if I could they were all home when I got there mister mayor mrs. Mayor and John Jr.
audio-15125.800-15146.500|It was almost as if they'd hung around to get a glimpse of me or struck me that way about John anyway who wandered in and out of the kitchen four or five times for no good reason mrs. Mayor was glacial it was she who answered the door and she held on tight as if I might pry her way and try to force her into a hug.
audio-15146.300-15155.200|She looks older and out of here nearly a year into mice tragedy her hair badly permed extra lines on her face.
audio-15155.000-15162.100|She wore a decade-old nylon sweat suit in a bright jade green that cast a gray light on her skin.
audio-15162.600-15164.800|She didn't bother trying to be nice.
audio-15165.900-15170.700|I stayed for about an hour Mister mayor came into the kitchen tall and broad-shouldered.
audio-15170.500-15172.900|His bald spot gleaming.
audio-15172.700-15179.500|He looked at me that he circled the table to stand behind me putting a hand on each of my shoulders.
audio-15179.300-15182.200|Isn't she a sight for sore eyes.
audio-15182.000-15187.800|He said to Mike and then he ruffled my hair and bent down to put the side of his face against mine.
audio-15190.300-15192.800|Monday morning, I went to Fabrications.
audio-15192.600-15198.200|I half expected to be disappointed after the place in New York, but the shop still had it sold.
audio-15198.000-15215.000|Hold on me the Fabrics not just gorgeous but a range to entice Exquisite pale Earth Tones mixed with whites and Ivory's to Signal the coming of spring the Bell over-the-door sounded and a very tall woman came in carrying a marshall Field's bag.
audio-15214.800-15223.200|She said hi to me and I was confused for a moment wondering if I knew her but no it was just Madison friendliness.
audio-15223.000-15231.900|I looked at my watch back into your my pattern making class would start soon and I was missing it again twice now.
audio-15232.500-15252.900|Could you help me the customer said to the saleswoman a soft body blondes in an obviously homemade blue twill jumper with a lot of topstitching I bought this dress and I'm not sure what to do about the fit the saleswoman showed her to the back room and the woman came out a few minutes later wearing a red silk dress that just didn't fit her.
audio-15252.700-15263.400|Never mind what the color did to her face as I watched the two of them talked trying to come up with a plan for altering it I think you'd have to take the sleeves off.
audio-15263.200-15271.700|The saleswoman said at one point then you could take out the plates and now it through here and get rid of that puffiness the customer side.
audio-15271.500-15273.700|I don't suppose you do any alterations.
audio-15273.500-15277.800|She said sorry saleswoman said shaking her head.
audio-15277.600-15279.800|I have a two-year-old at home.
audio-15280.400-15291.000|The customer gave her reflection last look she was turning toward the back room when I stepped forward and surprise myself by saying that I overheard her and that as it happened.
audio-15290.800-15293.100|I was in the business of doing alterations myself.
audio-15292.900-15300.700|Are you really she said I desperately need this for Friday, and I don't want to trust it's the Taylor at the dry cleaners.
audio-15301.300-15305.900|The saleswoman said I could pin it right there and we moved into a corner and got to work.
audio-15305.700-15310.500|I felt a little silly but excited too because I knew just what to do.
audio-15311.400-15313.800|Using pins from the box I bought on the spot.
audio-15313.600-15316.100|I took in the bodice adjusted the sleeves.
audio-15315.900-15319.600|They were less puffy and Droopy and short and skirt by about an inch.
audio-15319.400-15324.100|Look I said leading her back to the mirror is not better.
audio-15323.900-15327.600|If you can kind of ignore the pins and squint a little you'll get the idea.
audio-15327.400-15330.300|I can't do anything about the hips.
audio-15330.100-15332.900|But the rest I don't have to squint.
audio-15332.700-15334.400|She said it's great.
audio-15334.200-15338.100|You're a miracle worker and don't feel bad about the hips.
audio-15337.900-15340.700|I've tried and tried and I can't do anything about them either.
audio-15341.400-15345.500|The work was easy to complete by Friday and the Kenmore held up for me.
audio-15345.300-15348.700|Although there were a few bad moments when the bobbin thread.
audio-15348.500-15353.500|Tangled and oily I charge $60 and a woman and I were both happy.
audio-15354.600-15357.300|Heading back to her car after picking up the dress.
audio-15357.100-15364.900|She turned them said hey, could you make me a dress from scratch sometime standing there on my mother's front step.
audio-15364.700-15376.200|I knew the dress instantly the neckline the silhouette the dusty blues and greens that would bring out her eyes and set off her hair just like that in front of me a whole dress.
audio-15376.000-15379.000|It was thrilling and I shook my head.
audio-15378.800-15379.700|Regretfully.
audio-15379.500-15381.000|Sorry.
audio-15380.800-15382.600|I said I'm just here visiting.
audio-15384.100-15396.600|Tell Roy cooled he went from a certain someone unhappy state of understanding to a more irritable state of wanting to know why I had to resolve everything at once during a spur-of-the-moment trip that have gone on longer than planned.
audio-15396.400-15399.100|You're getting sucked back in.
audio-15398.900-15401.800|He said you got to see that you've done.
audio-15401.600-15404.800|We could it took Jamie a long time to reach this point.
audio-15404.600-15406.800|It'll take her a long time to come back from it.
audio-15406.600-15409.000|I said I knew I knew.
audio-15409.800-15412.300|I didn't mention that I'd stop trying to see her.
audio-15413.400-15414.800|I didn't mention Mike.
audio-15417.500-15423.000|I visited him every day just for a little while a half hour 45 minutes.
audio-15422.800-15428.800|He like going for walks around the neighborhood on weekday afternoons when the sidewalks were empty.
audio-15428.600-15435.700|It was 60? out 65 and the Tulips were opening great stand of yellow and red.
audio-15435.500-15438.600|Mrs. Mayor barely tolerated me.
audio-15438.400-15448.500|She tossed me sidelong glares her arms crossed over her chest when I knocked on the door, she opened it and then walked away calling Mike door.
audio-15449.200-15460.600|It was a punishment and just enduring it was a form of mortification as a mortifying the flesh to cleanse the soul except that I was mortifying sold to cleanse.
audio-15460.400-15463.600|So I survived it Moment by moment.
audio-15464.300-15474.600|On Saturday, I showed up around 1, mr. And mrs. Mayor were in golf clothes moving around the front of the house with clubs and shoes and then going off to look for their gloves.
audio-15474.400-15476.800|She back in me to decide.
audio-15476.600-15479.000|How long do you think you'll be staying today?
audio-15478.800-15483.100|I don't know why she smoothes her skirt.
audio-15482.900-15487.800|It's just John junior is a softball game and I hate to leave him home alone too long.
audio-15487.600-15489.900|It's our first time out this spring.
audio-15489.700-15491.200|We only want to play 9 holes.
audio-15491.000-15500.000|She looked at me our eyes truly meeting for the first time since my return she gave me a faint neutral smile, no pressure.
audio-15500.600-15501.300|Sure.
audio-15501.100-15503.100|I said no problem.
audio-15502.900-15505.600|She let out a heavy breath.
audio-15506.400-15507.800|Oh, thanks.
audio-15507.600-15508.500|Thanks.
audio-15508.300-15512.100|I joined Mike in the kitchen when they were gone.
audio-15511.900-15515.200|I got is each some ice water and we went out to the deck.
audio-15515.000-15516.900|So you're babysitting.
audio-15516.700-15520.700|My mom is a little too protective.
audio-15520.500-15527.800|I can hardly get her to go to the grocery store a cardinal it on the rail and we watched it packed and fly away.
audio-15528.700-15531.100|Mike I said after a while.
audio-15531.900-15532.900|Can we be friends?
audio-15534.300-15539.500|Event for the Redwood table for a sip of water than straightened up and gazed into the middle distance.
audio-15539.300-15541.700|I can't help loving you.
audio-15541.500-15546.500|He said in his face slowly filled with color.
audio-15546.300-15548.300|Isn't that a line from Smallville song?
audio-15548.100-15550.000|I think so.
audio-15550.700-15552.500|In answer to your question.
audio-15552.300-15555.100|He said I really don't know.
audio-15554.900-15560.500|I want to be I said you don't even live here anymore Carrie.
audio-15560.300-15562.600|I looked at my hands.
audio-15562.400-15567.900|How can I do both live in New York and be Mike's friend?
audio-15571.100-15575.500|Send it was May 1st and before heading out the door for the mayor's that day.
audio-15575.300-15578.300|I sat down and wrote Simon to check for the rent.
audio-15578.900-15595.200|I was down to a little over $300 and I was going to have to get a job as soon as I got back to New York 10 thing working at a library something I couldn't stand to think about how much money I wasted missing classes at Parsons 11 as of today.
audio-15596.000-15601.100|Mrs. Mayor was waiting outside the house for me her handbag looped over her wrist.
audio-15600.900-15607.500|I called and asked if she would show me how to use the van so I could take Mike out sometime and know I'd meant the lift.
audio-15607.300-15611.100|She handed me the keys and said she wanted to see me drive first.
audio-15611.700-15618.200|I got in and she climbed the next to me the gearshift rose up from the floor like a stiff plant.
audio-15618.000-15628.000|I never been behind the wheel of anything so high before and I jerked out of the driveway a little roughly before heading up the street at my size.
audio-15627.800-15631.500|She was silent gazing out her window at The Familiar sights.
audio-15631.300-15633.900|We drove around town for a while.
audio-15633.700-15636.500|Then she said I should go down and the Beltline.
audio-15637.700-15641.900|What were you thinking you might need the van for I glanced over at her.
audio-15641.700-15643.600|She was staring Straight Ahead.
audio-15643.400-15647.100|Both hands clamps on her purse to go for lunch.
audio-15646.900-15653.500|I said or just out she opened her person Snapchat closed again.
audio-15654.100-15655.500|How long are you staying?
audio-15655.300-15658.100|I'm not sure maybe another week.
audio-15657.900-15663.800|I pictured Kilroy lying on his couch his arms crossed over his chest and I side.
audio-15664.500-15667.600|This is Mayor opens her purse again and pulled out a lipstick.
audio-15667.400-15673.800|She lower the visor flipped open the mirror and rolled color over her lips a light Coral.
audio-15673.600-15689.000|She recap the lipstick with a smart clip Mister mayor and I have been parents for a long time and it's strange the things that bother you in the things that don't I'll tell you this only once we both feel that you are not reliable.
audio-15688.800-15692.600|We're both reluctant to have you back in Michael's life.
audio-15693.800-15698.600|My face burned I started the road to study movement of the car ahead of me.
audio-15699.400-15700.900|Show me turn around here.
audio-15700.700-15703.100|She said you're doing very well.
audio-15702.900-15704.800|I never knew you were such a careful driver.
audio-15705.900-15707.900|I signal to get off the Beltline.
audio-15707.700-15711.100|I stopped for a light and then drove back through town.
audio-15712.000-15714.700|Okay, it said once we're back in the driveway.
audio-15714.500-15716.500|I'll show you the lift now.
audio-15719.700-15727.400|You're not coming back till worry said are you I am you're not you just don't know what yet.
audio-15727.200-15731.100|We were on the phone again the day after my band lesson.
audio-15730.900-15733.300|I wanted to go back but not yet.
audio-15733.100-15738.400|I wanted to be with him, but I wanted to be friends with Mike to be there for him.
audio-15739.200-15742.400|But this was Kilroy, of course I was going back.
audio-15743.800-15752.000|Okay, when he said I want to date something heavy tumbled through me silence fell along the line.
audio-15752.700-15760.500|Sorry, he said no I am he laughed sharply what that's a great dog.
audio-15760.300-15761.100|Doesn't it?
audio-15760.900-15763.000|He elevated his voice to mimic me.
audio-15762.800-15764.200|I'm sorry.
audio-15765.200-15773.400|My heart started just say I said, I twisted the phone cord around my finger then split it off.
audio-15773.200-15779.700|I mean, I'm not saying this but what if I did want to stay here there are temp agencies here.
audio-15779.500-15780.700|You could come here.
audio-15781.500-15785.700|No, I couldn't why not because I live in New York.
audio-15785.500-15788.000|He said in a tight control voice.
audio-15787.800-15791.900|I want to live in New York more than you want to be with me.
audio-15791.700-15793.900|Is that an ultimatum?
audio-15793.700-15795.500|Didn't you?
audio-15795.300-15796.300|Just give me one?
audio-15797.100-15802.600|We talked a little longer to know good effect after what I climb the stairs and lay on my bed.
audio-15802.400-15803.800|I felt dizzy.
audio-15803.600-15811.000|I thought of his hands on my arms how they were just the right size for my arms his hands on my breasts.
audio-15810.800-15825.100|I put my own hands on my breasts and they felt soft and flabby it felt like nothing like pockets of Flesh how extraordinary I thought that someone could touch you and make you into something.
audio-15827.500-15833.300|I took my cat to lunch sandwiches one day Pizza another in the van.
audio-15833.100-15834.100|He was quiet.
audio-15833.900-15838.700|But once we were settled and eating he grew animated, it was good to leave.
audio-15838.500-15844.300|The mayor's house their neighborhood sitting opposite me in a Restaurant on Monroe Street one day.
audio-15844.100-15852.900|He looked across his porkchop which eat earlier asked me to cut into pieces for him and said Mike Mayer pieces lunch with gusto.
audio-15852.700-15856.100|I smiled Mike Mayer does.
audio-15855.900-15867.000|Yes, he does we split a cookie and then left the restaurant and headed toward the band the afternoon sun felt good on my face clean about it about the air.
audio-15867.800-15877.900|The sidewalk was empty and I glanced in and Shop Windows as we went by in one a linen slip dress hung from a rack and I paused at my side.
audio-15877.700-15884.000|Mike stop to it was a nice grade purple some tiny crochet work along with straps.
audio-15884.700-15886.100|That look good on you.
audio-15885.900-15891.800|He said I looked down at him and when our eyes met a worried look came over his face.
audio-15891.600-15893.700|Should I not have said that?
audio-15894.500-15895.500|No, it's fine.
audio-15895.300-15897.100|Are you sure?
audio-15897.900-15902.100|I nodded my press the lever on his wheelchair and we started off again.
audio-15901.900-15903.600|Here we go.
audio-15903.400-15906.800|He said Mike Mayer takes Monroe Street.
audio-15909.000-15912.600|Kilroy and I talked twice a day every two days.
audio-15912.400-15919.400|It didn't matter being together required being together and our conversations became grave and lugubrious.
audio-15920.500-15932.000|I love you with an idea that demanded physical proximity back in the fall telling him about my life and Madison had been like handing him object after Precious object hold for safekeeping.
audio-15931.800-15933.100|Now.
audio-15932.900-15937.600|I told him about seeing Mike and it was like taking those objects back one by one.
audio-15938.500-15941.700|I felt split in half when I was with Mike.
audio-15941.500-15944.400|I thought of Kilroy when I was on the phone with Kilroy.
audio-15944.200-15945.300|I thought of Mike.
audio-15946.100-15948.400|His hard time with late afternoon.
audio-15948.200-15957.000|He was tired by then and his neck hurt and he had to spend time in bed lying on his side to avoid pressure sores from being in the wheelchair for too long.
audio-15956.800-15975.600|He could transfer himself with a board incredibly slowly incrementally burden on his shoulders as he insta long, but on harder days he let his mother move him if I happen to be there I watched while she planted her legs and went to work silent with concentration her face full of strain.
audio-15976.300-15977.300|Late one afternoon.
audio-15977.100-15980.400|He and I sat in his room together right around the time.
audio-15980.200-15981.500|He usually lay down.
audio-15982.400-15988.000|Can I transfer you I said I've been meaning to ask if I hadn't decided on today.
audio-15987.800-15991.800|I think I know how it's not about thinking.
audio-15991.600-15993.400|He said believe me.
audio-15993.200-15998.300|What is I turned and there was mrs. Mayor looking in on us.
audio-15998.100-16002.200|She did that a lot poster hadn't asked if he needed anything.
audio-16002.000-16009.300|It was like the old days when she didn't meant excuses to make sure we weren't having sex transferring me.
audio-16009.100-16011.800|Mike said Carrie offered to do it.
audio-16011.600-16015.000|She can't possibly Miss is Mayor exclaimed.
audio-16014.800-16016.000|That's out of the question.
audio-16015.800-16019.300|She faced me with her mouth Preston with inline.
audio-16019.100-16024.600|It's quite complicated if you lose him for a second, she wouldn't lose me.
audio-16024.400-16030.300|He said rolling his eyes obviously should be careful people have to be trained.
audio-16030.100-16034.100|She said it's a question of training then trainer.
audio-16033.900-16038.300|He snapped or better yet Monday both just get out of here, and I'll do it myself.
audio-16039.400-16052.700|Oh my mrs. Meyers said oh sweetheart her eyes were wide and I thought you would cry I couldn't look at him but I felt them off to my side sitting in his chair rage mask in his useless body.
audio-16053.400-16060.000|Then it was over mrs. Mayor came into the room and said, all right, let's trainer carry.
audio-16059.800-16060.900|This is the best workout.
audio-16060.700-16061.500|You'll see.
audio-16062.400-16066.600|It was harder than it looked the burden of his body was enormous.
audio-16066.400-16071.700|I knew I had to swivel him around but I was terrified to move terrified.
audio-16071.500-16075.400|He'd knock me over my arms were shaking finally.
audio-16075.200-16080.900|I just did it swallows around until the bed was behind him a dance of deadweight.
audio-16080.700-16085.600|I lowered him and behind me mrs. Mayor side extravagantly.
audio-16085.400-16098.600|I stood there panting then let his upper body down our eyes meeting as his head touched the pillow at last I raised his legs and smoothes out the fabric of his pants, so he wouldn't be lying on any creases.
audio-16099.400-16101.700|Well, mrs. Meyers said from behind me.
audio-16101.500-16108.900|Well, she claps her hands together as if dust in the mall be sure there's plenty of support under his head.
audio-16109.600-16113.300|Mike and I looked at each other after charge moment.
audio-16113.100-16114.200|We both last.
audio-16114.000-16115.300|Thanks.
audio-16115.100-16117.600|He said you're quite welcome.
audio-16121.200-16122.400|Next afternoon.
audio-16122.200-16124.500|I learned that my cat quit his computer job.
audio-16124.300-16126.200|He was tired of pretending.
audio-16126.000-16127.900|It was more than just a way to feel useful.
audio-16127.700-16129.800|I'm not useful.
audio-16129.600-16136.900|He said and Gathering data about fucking life expectancy rates isn't going to change that or how I feel about it.
audio-16136.700-16139.500|We were in the van together on the way home.
audio-16139.300-16149.900|I looked over at him strapped into his wheelchair his eyes droop that the outside corners even is mustache true today roaming the unhappy Arc of his mouth.
audio-16150.900-16157.100|How'd your dad react I said he was disappointed while maybe not disappointed.
audio-16156.900-16158.800|He just wants you to be happy.
audio-16160.300-16162.400|I think he's settled for a little less than that.
audio-16163.100-16164.900|We rode along in silence.
audio-16165.600-16168.800|He said Mom on the other hand was all for it.
audio-16168.600-16174.400|Why should you spend your time on something you hate when you don't need the money deer should be perfectly content.
audio-16174.200-16176.100|Abby be like that Tom guy.
audio-16176.800-16182.500|Mike she wouldn't Thomas AC3 he met who never breathe without a ventilator.
audio-16183.200-16184.100|You know what?
audio-16183.900-16184.300|I mean?
audio-16185.000-16196.900|I knew mrs. Mayor wanted Mike to count on her no matter what she didn't always see how hard it was that he had to he's a head on a pillow like flirted and that were me I'd rather be dead.
audio-16196.700-16200.700|I brakes and turn to face him Mike.
audio-16200.500-16207.500|I would he looked at me defiantly and my first impulse was to look away brush it off.
audio-16207.300-16214.200|You didn't say that, but he had Will you I hesitated?
audio-16214.900-16216.400|Will you tell me more?
audio-16217.300-16218.200|Immediately.
audio-16218.000-16219.900|I felt my face filled with heat.
audio-16220.600-16226.800|Tell me Clarice phrase after while Mike side and began to speak.
audio-16226.600-16230.000|I read somewhere that after something like this.
audio-16229.800-16242.300|You spend your life either looking for a reason or looking for a cure, but you know what, there is no reason and there is no cure there just isn't I went to this church thing a few times and it was crazy.
audio-16242.100-16247.800|It was like all these people are just dying to have me decide that God had a plan for me.
audio-16247.600-16249.600|Why would that make a difference?
audio-16249.400-16252.900|I think I stopped really believing in God around the same time.
audio-16252.700-16255.400|I stopped believing in Santa Claus and it's breaking.
audio-16255.200-16257.800|My neck was supposed to help me start believing again.
audio-16257.600-16258.600|Why on Earth?
audio-16258.400-16260.300|Would that be a comforting idea?
audio-16261.000-16262.200|He shook his head.
audio-16262.000-16270.500|My therapist says maybe the hardest challenge is having to live with Suicidal Thoughts having to accept them as part of the whole damn package.
audio-16270.300-16272.000|He stared at me.
audio-16271.800-16273.800|Are you going to take me home or not?
audio-16274.800-16277.800|I took my foot off the brake and drove the rest of the way to the mayor's.
audio-16278.700-16281.800|Had the driveway he's at the bump and stops in front of the garage.
audio-16281.600-16283.300|I cut the engine.
audio-16283.100-16288.500|My heart was pounding I send do you have Suicidal Thoughts a lot?
audio-16289.300-16290.700|He looked at me and looked away.
audio-16290.500-16292.300|I did.
audio-16292.100-16294.300|I mean I still do but not as much.
audio-16295.200-16298.500|That must be a search for what to say.
audio-16299.300-16300.700|I must be hard.
audio-16301.400-16304.000|He sighed it's exhausting.
audio-16303.800-16308.800|It's like you have these pictures in your mind and your pulled for them at the same time.
audio-16308.600-16310.600|You're trying like hell to stay away from them.
audio-16311.400-16316.700|Mike I said Softly he looked away.
audio-16317.600-16325.800|After while he said I'm ready to go in now and I climb down from the van and went around to the other side then stood waiting level lift lowered him.
audio-16325.600-16331.700|I walked up the ramp behind him his wheelchair humming at the top we stopped.
audio-16332.400-16336.400|Want to sit out here for a while I said, would you like something to drink?
audio-16336.200-16337.700|No.
audio-16337.500-16338.000|Thanks.
audio-16339.100-16340.200|Neither of us spoke.
audio-16340.000-16342.300|I leaned against the railing.
audio-16342.100-16347.700|Mrs. Mara was in the kitchen her shape as she moved around just visible through the clean windows.
audio-16348.400-16357.000|Mike Mayer has a Moreau spell he said glancing at me and smiling a little he sits in his wheelchair and contemplates the back lawn.
audio-16360.300-16361.300|One afternoon.
audio-16361.100-16364.500|I stood hesitating as the top of the mayor's basement stairs.
audio-16364.300-16369.000|I could hear the dryer pounding smell detergent and heated cotton.
audio-16369.700-16374.800|Mike was in his room resting and I started down wishing there was something to knock on.
audio-16374.600-16377.300|This was mrs. Mayer's domain.
audio-16377.100-16384.100|She was standing at a long table a huge basket of laundry at her feet in front of her.
audio-16383.900-16390.800|Everything was in neat Stacks stock sorted shirts folded just so excuse me.
audio-16390.600-16393.800|I said she looked up and found a little.
audio-16393.600-16395.600|Oh hi.
audio-16396.400-16399.600|I continue down the stairs until I reach the concrete floor.
audio-16399.400-16403.400|Can I talk to you about next weekend?
audio-16403.900-16421.500|She pursed her lips Memorial Day was nearly Upon Us Memorial Day itself the first anniversary of Mike's accident, but also Memorial Day weekend, which she and Mr. Mayer traditionally spent up in Door County at an annual conference put on by his office.
audio-16422.700-16423.700|What about it?
audio-16423.500-16426.000|She said it's already decided.
audio-16425.800-16426.500|I'm not going.
audio-16427.500-16433.300|I know I said but Mike really wants you to what are you getting at Cary?
audio-16434.000-16435.800|I'd like to stay for the weekend.
audio-16435.600-16440.000|So you can go I'll come on Friday and stay till you get back Tuesday morning.
audio-16439.800-16441.100|You can tell me everything.
audio-16440.900-16442.500|I need to know I'll be responsible.
audio-16443.700-16445.400|Her mouth tightened.
audio-16445.200-16447.100|I want to do it.
audio-16446.900-16452.300|I said you can hate me for the rest of your life, but that doesn't change the fact that I'm here now.
audio-16452.100-16471.300|I'm back and I want to be part of Mike's life, and I'm going to be Perryville she said well, well she smiled a little Mister mayor does want me to go then go I said I went over on the Friday afternoon.
audio-16471.100-16476.500|I bake the meatloaf mrs. Mayor had left and put out a salad that was already in the bowl.
audio-16476.300-16486.100|I need it only to be dressed John had a friend over and the four of us ate in the kitchen the little countertop TV turn to a baseball game on ESPN.
audio-16486.800-16496.200|John was already deep in training for his senior year hockey season and he had three helpings of meatloaf and at least a quart of milk Saturday morning after breakfast.
audio-16496.000-16508.800|We sat in the kitchen waiting for the doorbell Mike's attendant was due to arrive at 9 to help him shower and go to the bathroom administer his VP as mrs. Mayor said his bowel program.
audio-16509.600-16511.500|I sat on the deck while they were busy.
audio-16511.300-16517.200|Finally Mike wheeled outside his hair still wet a sheepish smile on his lips.
audio-16518.100-16520.900|Remember when BP stood for beautiful people.
audio-16520.700-16523.800|He said the times they have changed.
audio-16524.500-16538.900|We got into the van and drove over to the state capitol the Farmers Market at the end of May there were tender lettuces Spears of rhubarb tiny carrots and potatoes We join the crowd circling the stands.
audio-16538.700-16552.700|I bought some potted herbs in a jar of honey for my mother a farm life with worn-out fingers so that the massive bear claw and I tore up little bits and fed them to Mike and licked the Almond dacquoise for my fingertips.
audio-16553.300-16555.000|Monday was Memorial day.
audio-16554.800-16565.300|We haven't made plans and I woke early and tell him to come up with some activity shopping a park a movie something to get us past the middle of the day.
audio-16566.000-16576.200|Mike had other ideas he rolled into the kitchen where I was cleaning up and said casually as he pleased that he wanted to drive up to clawson's Reservoir.
audio-16577.000-16582.100|He watch me nonchalantly waiting for my response my heart pounded.
audio-16581.900-16585.700|How could he go and not come back a little more broken?
audio-16585.500-16592.600|How could I he sat there in his chair face still pink from his shower his moustache.
audio-16592.400-16593.500|Neatly trimmed.
audio-16593.300-16597.400|He been waiting for this I understood for a long time.
audio-16598.600-16607.000|There was a lot of traffic we drove past farms and small clusters of houses interchanges where narrow roads Ranch World hounds.
audio-16607.900-16620.800|The parking lot at the reservoir was crowded lots of jeeps and motorcycles fools Wheels as Mike and rooster had always said I pulled into a handicap spot and cut the engine out the window.
audio-16620.600-16625.300|I looked at the hill that hit the water from view grassy and choked with Queen Anne's Lace.
audio-16626.200-16627.400|What do you want to do?
audio-16627.200-16632.100|I send the path of the hell was narrow and Rocky it was not accessible.
audio-16632.800-16637.100|Get out at least I got down and went around to help him.
audio-16636.900-16641.700|He push the lever on his chair and began to move forward will get a pop.
audio-16641.500-16647.900|He said refreshment stand was at the far side of the parking lot by the time we got there.
audio-16647.700-16648.900|Mike was sweating.
audio-16648.700-16650.000|He looked unwell.
audio-16651.000-16664.100|We drink the sodas under the bright shade of the plastic shelter neither of us saying much when we were done like asked me to get some hot dogs and I stood in line again thinking he didn't want the dog so much as he wasn't ready to leave.
audio-16665.000-16670.800|Finally we started back toward the van when we arrived at the path over the hill Mike stopped.
audio-16670.600-16672.900|He Wheels around so he could look at me.
audio-16674.400-16676.300|The helicopter landed right there.
audio-16676.100-16680.400|I said pointing at the clear space for the roseland's the parking lot.
audio-16680.200-16683.900|You were still on the pier or rooster pulls you up.
audio-16685.300-16686.200|What were you thinking?
audio-16686.000-16692.800|Mike said that it was my fault that if I hadn't been mad at you I would have kept you from diving.
audio-16693.600-16697.800|how Carrie he said Oh my God.
audio-16698.800-16706.900|how everyone that evening after we watch TV went into his room and I unbuttoned his shirt.
audio-16706.700-16714.000|He got it off and transferred onto his bed why he's the shorts down rolling in from side to side to get them off.
